name,Price Per Unit,Price Per Measure,Promotion
Benson & Hedges Gold 100s Cigarettes,Benson & Hedges Gold 100s Cigarettes20 per pack,£15.95,79.8p each,
Benson & Hedges Gold Cigarettes,Benson & Hedges Gold Cigarettes20 per pack,£15.95,79.8p each,
Benson & Hedges Gold Cigarettes,Benson & Hedges Gold Cigarettes5 x 20 per pack,£79,79p each,
Benson & Hedges Silver Cigarettes,Benson & Hedges Silver Cigarettes20 per pack,£15,75p each,
Benson & Hedges Silver Cigarettes,Benson & Hedges Silver Cigarettes5 x 20 per pack,£72.10,72.1p each,
Benson & Hedges Sky Blue Cigarettes,Benson & Hedges Sky Blue Cigarettes20 per pack,£11.85,59.3p each,
Benson & Hedges Superkings Blue Cigarettes,Benson & Hedges Superki…20 per pack,£11.85,59.3p each,
Benson & Hedges Superkings Blue Cigarettes Multipack,Benson & Hedges Superkings Bl…5 x 20 per pack,£59,59p each,
Benson & Hedges Superkings Green Cigarettes,Benson & Hedges Superki…20 per pack,£11.85,59.3p each,
Benson & Hedges Superkings Sky Blue Cigarettes,Benson & Hedges Superking…20 per pack,£11.85,59.3p each,
Berkeley Super Kings Blue      ,Berkeley Super Kings Blue      20 per pack,£14.20,71p each,
Berkeley Superkings Cigarettes,Berkeley Superkings Cigarettes20 per pack,£14.20,71p each,
Berkeley Superkings Green Cigarettes,Berkeley Superkings Green Cigarettes20 per pack,£14.20,71p each,
Biere Continentale Bottles,Biere Continentale Bottles10 x 25cl,£3.19,£1.28 per litre,"Offer price £3.19, was £3.60"
Big Drop Brewing Co. Pale Ale ,Big Drop Brewing Co. Pale Ale 330ml,£1.50,£4.55 per litre,Buy 4 for the Price of 3
Big Drop Brewing Co. Stout,Big Drop Brewing Co. Stout330ml,£1.50,£4.55 per litre,Buy 4 for the Price of 3
B. INK Red Blend,B. INK Red Blend75cl,£9,£9.00 per 75cl,"Buy 6, Save 25%"
Birra Moretti Lager Beer Bottle,Birra Moretti Lager Beer Bottle660ml,£2.90,£4.39 per litre,Buy 4 for the Price of 3
Birra Moretti Lager Beer Bottles,Birra Moretti Lager Beer Bottles4 x 330ml,£6.50,£4.92 per litre,
Birra Moretti Lager Beer Bottles,Birra Moretti Lager Beer Bottles12 x 330ml,£13.50,£3.41 per litre,"Offer price £13.50, was £16"
