title,name,Price Per Unit,Price Per Measure,Promotion,
Childs Farm Bubble Bath Organic Tangerine,Childs Farm Bubble Bath Organic Tangerine250ml,£4.25,£1.70 per 100ml,,baby-toddler
Childs Farm Conditioner Strawberry & Organic Mint,Childs Farm Conditioner Strawberry & Organic Mint250ml,£4.25,£1.70 per 100ml,,baby-toddler
Childs Farm Hair & Body Wash Watermelon & Organic Pineapple ,Childs Farm Hair & Body Wash Waterm...250ml,£4.25,£1.70 per 100ml,,baby-toddler
Childs Farm Moisturiser Unfragranced ,Childs Farm Moisturiser Unfragranced 250ml,£4.25,£1.70 per 100ml,,baby-toddler
Childs Farm Nappy Cream,Childs Farm Nappy Cream100ml,£4.25,£4.25 per 100ml,,baby-toddler
Childs Farm Organic Raspberry Extract Bubble Bath,Childs Farm Organic Raspber...250ml,£4.25,£1.70 per 100ml,,baby-toddler
Childs Farm Organic Rhubarb & Custard,Childs Farm Organic Rhubarb & Custard250ml,£4.25,£1.70 per 100ml,,baby-toddler
Childs Farm Organic Sweet Orange Hair & Body Wash,Childs Farm Organic Sweet O...250ml,£4.25,£1.70 per 100ml,,baby-toddler
Childs Farm Strawberry & Organic Mint Shampoo,Childs Farm Strawberry & Organic Mint Shampoo250ml,£4.25,£1.70 per 100ml,,baby-toddler
Colgate Kids Barbie Extra Soft Battery Toothbrush 3+ Years,Colgate Kids Barbie Extra Soft Ba...,£4,,"Offer price £4, was £8",baby-toddler
Colgate Maximum Cavity Protection Kids Toothpaste 3+ Years ,Colgate Maximum Cavity Protection...50ml,£2,£4.00 per 100ml,,baby-toddler
Cow & Gate 1 First Baby Milk Formula From Birth,Cow & Gate 1 First Baby Milk Formula From Birth800g,£10.50,£1.31 per 100g,,baby-toddler
Cow & Gate 1 First Baby Milk Formula Starter Pack From Birth,Cow & Gate 1 First Baby Milk Formul...6 x 70ml,£7.50,£1.79 per 100ml,,baby-toddler
Cow & Gate 2 Follow On Baby Milk Formula,Cow & Gate 2 Follow On Baby Milk Formula800g,£10.50,£1.31 per 100g,,baby-toddler
