name,Price Per Unit,Price Per Measure,Promotion
Market Street Egg Custard Tarts ,Market Street Egg Custard Tarts 2 per pack,95p,47.5p each,Buy 2 for £1.40
Market Street Flapjack Bites,Market Street Flapjack Bites22 per pack,£2.49,11.3p each,Buy 2 for £3.50
Market Street Gingerbread Man         ,Market Street Gingerbread Man         ,99p,,
Market Street Large Chocolate Eclairs ,Market Street Large Chocolate Eclairs 2 per pack,£1.99,99.5p each,Buy 2 for £3.50
Market Street Mini Snowballs ,Market Street Mini Snowballs 14 per pack,£2.49,17.8p each,Buy 2 for £3.50
Market Street Rocky Road Mini Bites ,Market Street Rocky Road Mini Bites 195g,£2.49,£1.28 per 100g,Buy 2 for £3.50
Market Street Salted Caramel Shortbread Squares,Market Street Salted Cara…18 per pack,£2.49,13.8p each,Buy 2 for £3.50
Market Street Shortbread Bites,Market Street Shortbread Bites18 per pack,£2.49,13.8p each,Buy 2 for £3.50
Market Town Bakery Banana & Chocolate Chip Loaf Cake ,Market Town Bakery Banana & C…370g,£2.99,80.8p per 100g,
Market Town Bakery Cherry Loaf Cake ,Market Town Bakery Cherry Loaf Cake 370g,£2.95,79.7p per 100g,
Market Town Bakery Classic Flapjack ,Market Town Bakery Classic Flapjack 275g,£1.99,72.4p per 100g,
Market Town Bakery Genoa Cake ,Market Town Bakery Genoa Cake 400g,£2.95,73.8p per 100g,
Market Town Bakery Ginger Loaf Cake ,Market Town Bakery Ginger Loaf Cake 370g,£2.95,79.7p per 100g,
Market Town Bakery Madeira Loaf Cake ,Market Town Bakery Madeira Loaf Cake 370g,£2.95,79.7p per 100g,
Market Town Bakery Rich Port & Brandy Cake ,Market Town Bakery Rich Port & Brandy Cake 400g,£2.95,73.8p per 100g,
Market Town Bakery Salted Caramel Flapjack ,Market Town Bakery Salted Caramel Flapjack 275g,£1.99,72.4p per 100g,
Market Town Bakery Spiced Fruit Cake ,Market Town Bakery Spiced Fruit Cake 400g,£2.95,73.8p per 100g,
Market Town Bakery Zesty Lemon Loaf Cake ,Market Town Bakery Zesty Lemon Loaf Cake 370g,£2.95,79.7p per 100g,
Mars The Ultimate Chocolate Traybake,Mars The Ultimate Chocolate Traybake715g,£9.75,£1.36 per 100g,
McVitie's Digestives Caramel Slices,McVitie's Digestives Caramel Slices5 per pack,£1.25,25p each,
McVitie's Digestives Chocolate Slices,McVitie's Digestives Chocolate Slices5 per pack,£1.25,25p each,
McVitie's Hobnobs Flapjacks With Milk Chocolate,McVitie's Hobnobs Flapjac…5 per pack,£1.25,25p each,
McVitie's Jaffa Cake Bars,McVitie's Jaffa Cake Bars5 per pack,£2,40p each,Buy 2 for £2.50
McVitie's Jamaica Ginger Cake,McVitie's Jamaica Ginger Cake237g,£1.49,62.9p per 100g,
McVitie's Lyle's Golden Syrup Cake,McVitie's Lyle's Golden Syrup Cake,£1.49,,
Mcvitie's Toasting Waffles ,Mcvitie's Toasting Waffles 8 per pack,£1.75,21.9p each,
"Metaltex Plastic Bag Clips Large, Assorted Colours","Metaltex Plastic Bag Clips Large, Assorted Colours4 per pack",£1.99,49.8p each,
Me To You Gift Cake Serves 4,Me To You Gift Cake Serves 4,£4.99,,
Milky Way Cake Bars,Milky Way Cake Bars5 per pack,£2,40p each,Buy 2 for £2.50
Mission Deli Chargrilled Wraps,Mission Deli Chargrilled Wraps6 per pack,£1.59,26.5p each,
Mission Deli Original Mini Wraps,Mission Deli Original Mini Wraps6 per pack,£1.09,18.2p each,
Mission Deli Plain Tortilla Wraps,Mission Deli Plain Tortilla Wraps6 per pack,£1.59,26.5p each,
Mission Deli Wheat & White Mini Wraps ,Mission Deli Wheat & White Mini Wraps 6 per pack,£1.09,18.2p each,
Mission Deli Wheat & White Wraps,Mission Deli Wheat & White Wraps6 per pack,£1.59,26.5p each,
Morrisons 6 Angel Cake Slices,Morrisons 6 Angel Cake Slices6 per pack,£1.25,20.8p each,
Morrisons 6 Bakewell Cake Slices,Morrisons 6 Bakewell Cake Slices6 per pack,£1.25,20.8p each,
Morrisons 6 Carrot Cake Slices,Morrisons 6 Carrot Cake Slices6 per pack,£1.25,20.8p each,
Morrisons 6 Country Cake Slices,Morrisons 6 Country Cake Slices6 per pack,£1.25,20.8p each,
Morrisons 8 Mini Plain Tortillas,Morrisons 8 Mini Plain Tortillas,85p,,
Morrisons All Butter Croissants,Morrisons All Butter Croissants8 per pack,£2.19,27.4p each,
Morrisons Almond Fingers   ,Morrisons Almond Fingers   6 per pack,£1.39,23.2p each,
Morrisons Angel Layer Cake,Morrisons Angel Layer Cake,£1.59,,
Morrisons        Assorted Jam     Tarts ,Morrisons        Assorted Jam     Tarts 6 x 1 per pack,99p,16.5p each,"Offer price 99p, was £1.15"
Morrisons Bake at Home Crusty White Rolls,Morrisons Bake at Home Crusty White Rolls4 per pack,£1.09,27.3p each,
Morrisons Busy Bee Celebration Cake Serves 8,Morrisons Busy Bee Celebration Cake Serves 8535g,£8.49,£1.59 per 100g,
Morrisons Butter Brioche Rolls,Morrisons Butter Brioche Rolls8 per pack,£1.55,19.4p each,
Morrisons Butterfly Buns,Morrisons Butterfly Buns6 per pack,£1.49,24.8p each,
Morrisons Butter Muffins,Morrisons Butter Muffins4 per pack,99p,24.8p each,
Morrisons Cake Shop 2 Fresh Cream Strawberry & Custard Tart,Morrisons Cake Shop 2 Fresh Cream…2 per pack,£1.99,99.5p each,Buy 2 for £3.50
Morrisons Cake Shop Profiterole Stack,Morrisons Cake Shop Profiterole Stack12 per pack,£3.49,29.1p each,
Morrisons Caramelised Biscuit Cake,Morrisons Caramelised Biscuit Cake,£13.99,,
Morrisons Caterpillar Cupcakes,Morrisons Caterpillar Cupcakes4 per pack,£2.49,62.3p each,
Morrisons Cheddar Cheese Muffins,Morrisons Cheddar Cheese Muffins4 per pack,99p,24.8p each,
Morrisons Cherry Madeira Slab Cake,Morrisons Cherry Madeira Slab Cake,£1.59,,
