name,Price Per Unit,Price Per Measure,Promotion
Ambrosia Ready To Eat Porridge Golden Syrup Flavour,Ambrosia Ready To Eat Porridg…210g,£1.29,61.4p per 100g,Buy 4 for £4
Ambrosia Ready To Eat Porridge Original,Ambrosia Ready To Eat Porridge Original210g,£1.29,61.4p per 100g,Buy 4 for £4
Ambrosia Rice Pudding Pots,Ambrosia Rice Pudding Pots4 x 125g,£2.99,59.8p per 100g,
Ambrosia Rice Pudding Pots,Ambrosia Rice Pudding Pots6 x 120g,£3.49,48.5p per 100g,
Ambrosia Semolina Dessert Can,Ambrosia Semolina Dessert Can400g,£2.19,54.8p per 100g,
Ambrosia Sticky Toffee Rice Pudding,Ambrosia Sticky Toffee Rice Pudding400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Strawberry Flavour Devon Custard  Can,Ambrosia Strawberry Flavo…400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Strawberry Flavour Devon Custard Pot,Ambrosia Strawberry Flavo…150g,95p,63.3p per 100g,Buy 2 for £1.50
Ambrosia Tapioca Dessert Can,Ambrosia Tapioca Dessert Can385g,£2.19,56.9p per 100g,
Ambrosia Traditional Rice Pudding and Sultanas with Nutmeg,Ambrosia Traditional Rice Pudding…400g,£2.19,54.8p per 100g,
Amoy Straight to Wok Medium Noodles,Amoy Straight to Wok Medium Noodles2 x 150g,£2.09,£6.97 per kg,Buy 2 for £3
Amoy Straight to Wok Thread Fine Noodles,Amoy Straight to Wok Thread Fine Noodles2 x 150g,£2.09,£6.97 per kg,Buy 2 for £3
Amoy Straight To Wok Udon Thick Noodles,Amoy Straight To Wok Udon Thick Noodles2 x 150g,£2.09,69.7p per 100g,Buy 2 for £3
Angel Delight Banana Flavour Instant Dessert,Angel Delight Banana Flavour Instant Dessert59g,89p,£1.51 per 100g,Buy 2 for £1.50
Angel Delight Butterscotch Flavour Instant Dessert,Angel Delight Butterscotch…66g,89p,£1.35 per 100g,Buy 2 for £1.50
Angel Delight Butterscotch Flavour No Added Sugar Instant Dessert,Angel Delight Butterscotch…47g,89p,£1.89 per 100g,Buy 2 for £1.50
Angel Delight Chocolate Flavour Instant Dessert,Angel Delight Chocolate Flavour Instant Dessert67g,89p,£1.33 per 100g,Buy 2 for £1.50
Angel Delight Strawberry Flavour Instant Dessert,Angel Delight Strawberry Flavour Instant Dessert59g,89p,15.1p per 10g,Buy 2 for £1.50
Angel Delight Strawberry Flavour No Added sugar Instant Dessert,Angel Delight Strawberry Flavour No A…47g,89p,£1.89 per 100g,Buy 2 for £1.50
Angel Delight Unicorn Edition Strawberry Flavour Dessert Kit ,Angel Delight Unicorn Edition Straw…95g,£2,£2.11 per 100g,
Arctic Power Berries Blueberry Powder,Arctic Power Berries Blueberry Powder70g,£9,£12.86 per 100g,
Arctic Power Berries Mixed Berry Powder,Arctic Power Berries Mixed Berry Powder70g,£9,£12.86 per 100g,
Aroy-D Coconut Milk Lait De Coco ,Aroy-D Coconut Milk Lait De Coco 400ml,£1.49,37.3p per 100ml,
Askeys 21 Cup Cones,Askeys 21 Cup Cones21 per pack,£1.19,5.7p each,
Askeys Cornets,Askeys Cornets21 per pack,£1.19,5.7p each,
Askeys Crackin Chocolate Chunk Flavour Topping,Askeys Crackin Chocolate Chunk Flavour Topping225g,£1.49,66.2p per 100g,
Askeys Crackin Chocolate Orange Flavour Topping,Askeys Crackin Chocolate Orange Flavour Topping225g,£1.49,66.2p per 100g,
Askeys Treat Chocolate Flavour Topping,Askeys Treat Chocolate Flavour Topping325g,£1.49,45.8p per 100g,
Askeys Treat Maple Syrup Sauce,Askeys Treat Maple Syrup Sauce325g,£1.49,45.8p per 100g,
Askeys Treat Strawberry Flavour Sauce,Askeys Treat Strawberry Flavour Sauce325g,£1.49,45.8p per 100g,
Askeys Treat Toffee Sauce,Askeys Treat Toffee Sauce325g,£1.49,45.8p per 100g,
Aspall Classic Red Wine Vinegar,Aspall Classic Red Wine Vinegar350ml,£1.89,54p per 100ml,
Aspall Classic White Wine Vinegar,Aspall Classic White Wine Vinegar350ml,£1.89,54p per 100ml,
Aspall Organic Cyder Vinegar,Aspall Organic Cyder Vinegar350ml,£2.05,58.6p per 100ml,
Aspall Raw Organic Apple Cyder Vinegar,Aspall Raw Organic Apple Cyder Vinegar500ml,£2.60,52p per 100ml,"Offer price £2.60, was £3.25"
Atora Suet Beef,Atora Suet Beef240g,£2.99,£1.25 per 100g,
Atora Suet Vegetable,Atora Suet Vegetable240g,£2.99,£1.25 per 100g,
Aunt Bessie's American Style Pancake Mix,Aunt Bessie's American Style Pancake Mix250g,£1.29,51.6p per 100g,
Aunt Bessies Crumble Mix      ,Aunt Bessies Crumble Mix      400g,£1.39,£3.48 per kg,
Aunt Bessie's Pancake Mix,Aunt Bessie's Pancake Mix480g,£1.59,£3.31 per kg,
Aunt Bessies Shortcrust Pastry Mix ,Aunt Bessies Shortcrust Pastry Mix 500g,£1.39,£2.78 per kg,
Aunty's Delicious Golden Syrup Steamed Puddings,Aunty's Delicious Golden Syrup Steamed Puddings190g,£1.50,78.9p per 100g,
Aunty's Ginger Steamed Puddings,Aunty's Ginger Steamed Puddings190g,75p,£3.95 per kg,
Aunty's Spotted Dick Steamed Puds ,Aunty's Spotted Dick Steamed Puds 190g,£1.50,£7.89 per kg,
