name,Price Per Unit,Price Per Measure,Promotion
Bol Sweet Potato Katsu Curry One Pot Meal,Bol Sweet Potato Katsu Curry One Pot Meal450g,£3.25,72.2p per 100g,Buy 2 for £5
Bonne Maman Baba Au Rum,Bonne Maman Baba Au Rum2 x 140g,£2.90,£1.04 per 100g,
Bonne Maman Cherry And Chocolate Mousse,Bonne Maman Cherry And Chocolate Mousse2 x 95g,£2.59,£1.36 per 100g,
Bonne Maman Chocolate Mousse,Bonne Maman Chocolate Mousse2 x 70g,£2.19,£1.56 per 100g,
Bonne Maman Clementine Mousse,Bonne Maman Clementine Mousse2 x 70g,£2.19,£1.56 per 100g,
Bonne Maman Creme Brulee,Bonne Maman Creme Brulee2 x 100g,£2.60,£1.30 per 100g,
Bonne Maman Creme Caramel,Bonne Maman Creme Caramel4 x 100g,£2.90,72.5p per 100g,
Bonne Maman Pear And Chocolate Mousse,Bonne Maman Pear And Chocolate Mousse2 x 95g,£2.59,£1.36 per 100g,
Bonne Maman Salted Caramel Creme ,Bonne Maman Salted Caramel Creme 2 x 90g,£2.19,£1.22 per 100g,
Bonne Maman Strawberry Mousse,Bonne Maman Strawberry Mousse2 x 70g,£2.19,£1.56 per 100g,
Boursin Cheese with Garlic & Herbs,Boursin Cheese with Garlic & Herbs150g,£2,£13.34 per kg,"Offer price £2, was £2.95"
Boursin Garlic & Herbs,Boursin Garlic & Herbs6 x 16g,£2.25,£23.44 per kg,
Buxton Still Water Sports Cap,Buxton Still Water Sports Cap1L,95p,95p per litre,Food To Go Meal Deal for £3.50
Cadbury Buttons Dessert,Cadbury Buttons Dessert75g,99p,£1.32 per 100g,
Cadbury Dairy Milk Pots Of Joy Caramel Chocolate,Cadbury Dairy Milk Pots Of Joy Caramel Chocolate4 x 60g,£2.50,£1.04 per 100g,Buy 2 for £3.50
Cadbury Dairy Milk Pots Of Joy Chocolate,Cadbury Dairy Milk Pots Of Joy Chocolate4 x 60g,£2.50,£1.04 per 100g,Buy 2 for £3.50
Cadbury Dairy Milk Pots of Joy Limited Edition,Cadbury Dairy Milk Pots of Joy Limited Edition4 x 60g,£2.50,£1.04 per 100g,Buy 2 for £3.50
Cadbury Flake Dessert,Cadbury Flake Dessert75g,99p,£1.32 per 100g,
Cadbury Layers of Joy Chocolate Trifle,Cadbury Layers of Joy Chocolate Trifle2 x 90g,£1.75,97.2p per 100g,
Cadbury Limited Edition Dessert,Cadbury Limited Edition Dessert75g,99p,£1.32 per 100g,
Cadbury Pots of Joy Chocolate Orange ,Cadbury Pots of Joy Chocolate Orange 350g,£3,85.7p per 100g,
Cadbury Pots of Joy Dairy Milk,Cadbury Pots of Joy Dairy Milk350g,£3,85.7p per 100g,
Cadbury Twin Pots Daim,Cadbury Twin Pots Daim75g,99p,£1.32 per 100g,
Cadbury Wispa Chocolate Mousse,Cadbury Wispa Chocolate Mousse4 x 45g,£1.85,£1.03 per 100g,Buy 2 for £3.50
Califia Farms Cold Brew Caramel Oat Coffee,Califia Farms Cold Brew Caramel Oat Coffee,£2.95,,
Califia Farms Mocha Cold Brew Coffee With Almond,Califia Farms Mocha Cold Brew Coffee With Almond750ml,£2.95,39.3p per 100ml,
Califia Farms Oat Barista Chilled,Califia Farms Oat Barista Chilled1L,£1.50,15p per 100ml,"Offer price £1.50, was £2"
Califia Farms Oat Milk Barista Blend,Califia Farms Oat Milk Barista Blend1L,£2.09,£2.09 per litre,
Campina Minions Cheese Bites ,Campina Minions Cheese Bites 5 x 20g,£1.60,£16.00 per kg,
Capricorn Goats Cheese ,Capricorn Goats Cheese 100g,£2,£20.00 per kg,
Castello Creamy Blue ,Castello Creamy Blue 150g,£2.50,£16.67 per kg,"Offer price £2.50, was £2.79"
Castello Danish Blue,Castello Danish Blue150g,£2.50,£16.67 per kg,"Offer price £2.50, was £2.79"
Castello Extra Creamy Brie ,Castello Extra Creamy Brie 200g,£2.50,£12.50 per kg,"Offer price £2.50, was £2.79"
Castello Taste Hawaii Pineapple & Almond Cream Cheese Ring,Castello Taste Hawaii Pineapple &…125g,£1.75,£14.00 per kg,"Offer price £1.75, was £2.29"
Castle Maclellan Oven Roasted Mushroom Pate,Castle Maclellan Oven Roasted Mushroom Pate100g,£1.75,£1.75 per 100g,
Castle Maclellan Smoked Salmon Pate,Castle Maclellan Smoked Salmon Pate100g,£1.75,£1.75 per 100g,
Cathedral City 6 Slices Lighter Cheese,Cathedral City 6 Slices Lighter Cheese150g,£2.39,£15.93 per kg,Buy 2 for £4
Cathedral City 6 Slices Mature Cheese,Cathedral City 6 Slices Mature Cheese150g,£2.39,£15.93 per kg,Buy 2 for £4
Cathedral City Dairy Free,Cathedral City Dairy Free280g,£3.59,£1.28 per 100g,
Cathedral City Dairy Free Grated,Cathedral City Dairy Free Grated150g,£2.49,£1.66 per 100g,
Cathedral City Dairy Free Sliced,Cathedral City Dairy Free Sliced150g,£2.49,£1.66 per 100g,
Cathedral City Extra Mature Cheese,Cathedral City Extra Mature Cheese350g,£3.99,£11.40 per kg,
Cathedral City Extra Mature Cheese,Cathedral City Extra Mature Cheese550g,£4.50,£8.18 per kg,
Cathedral City Grated Lighter Cheese,Cathedral City Grated Lighter Cheese180g,£2.39,£13.28 per kg,Buy 2 for £4
Cathedral City Grated Mature Cheese,Cathedral City Grated Mature Cheese180g,£2.39,£13.28 per kg,Buy 2 for £4
Cathedral City Kids Snack Nibbles Mild Lighter Cheese,Cathedral City Kids Snack Nib…5 x 16g,£1.99,£24.88 per kg,
Cathedral City Lactose Free Mature Cheddar Cheese ,Cathedral City Lactose Free…200g,£2.25,£11.25 per kg,"Offer price £2.25, was £2.65"
