name,Price Per Unit,Price Per Measure,Promotion
Genius Gluten Free Double Chocolate Muffins 2 Pack,Genius Gluten Free Double Chocolate Muffins 2 Pack160g,£2,£1.25 per 100g,Buy 2 for £3.20
Genius Gluten Free Fibre Fest Cob ,Genius Gluten Free Fibre Fest Cob 385g,£1.75,45.5p per 100g,
Genius Gluten Free Pancakes,Genius Gluten Free Pancakes198g,£2.19,£1.11 per 100g,Buy 2 for £3.20
Genius Gluten Free Plain Wraps,Genius Gluten Free Plain Wraps4 per pack,£2.85,71.3p each,
Genius Gluten Free Sausage Rolls ,Genius Gluten Free Sausage Rolls 2 x 100g,£2.69,£13.45 per kg,
Genius Gluten Free Sliced Spicy Fruit Loaf ,Genius Gluten Free Sliced Spicy Fruit Loaf 400g,£2.69,67.3p per 100g,
Genius Gluten Free Soft Brown Sandwich loaf,Genius Gluten Free Soft Brown Sandwich loaf535g,£2.90,54.2p per 100g,
Genius Gluten Free Soft White Farmhouse Loaf,Genius Gluten Free Soft White Farmhouse Loaf535g,£2.90,54.2p per 100g,
Genius Gluten Free Stonebaked Pitta Breads,Genius Gluten Free Stonebaked Pitta Breads3 per pack,£2.09,69.7p each,Buy 2 for £3.20
Genius Gluten Free Toastie Square Cut White Loaf,Genius Gluten Free Toastie Square Cut White Loaf500g,£2.75,55p per 100g,
Genius Gluten Free Triple Seeded Sandwich Loaf,Genius Gluten Free Triple Seeded Sandwich Loaf535g,£2.99,55.9p per 100g,
Genius Gluten Free Triple Seeded Soft Rolls,Genius Gluten Free Triple Seeded Soft Rolls300g,£2.19,73p per 100g,Buy 2 for £3.20
Genius Gluten Free White Sandwich Loaf,Genius Gluten Free White Sandwich Loaf430g,£2.90,67.4p per 100g,
Genius Gut Lovin Tiger Bloomer ,Genius Gut Lovin Tiger Bloomer 400g,£3.29,82.3p per 100g,
Genius Roasted Vegetable Quiche 2 Pack,Genius Roasted Vegetable Quiche 2 Pack320g,£3.19,£9.97 per kg,
Goodfella's Gluten Free Margherita Pizza,Goodfella's Gluten Free Margherita Pizza328g,£4,£12.20 per kg,
Goodfella's Gluten Free Pepperoni Pizza,Goodfella's Gluten Free Pepperoni Pizza317g,£4,£1.26 per 100g,
Gu Spanish Lemon Cheesecake Vegan & Gluten Free,Gu Spanish Lemon Cheeseca…2 x 92g,£2.50,£1.36 per 100g,"Offer price £2.50, was £3.85"
Heck Meat Free Sausage,Heck Meat Free Sausage300g,£2,£6.67 per kg,
Henderson's Relish,Henderson's Relish284ml,£1.25,44p per 100ml,"Offer price £1.25, was £1.90"
Jack Daniel's Gluten Free Honey BBQ Sauce ,Jack Daniel's Gluten Free Honey BBQ Sauce 553g,£4.25,76.9p per 100g,
Jack Daniel's Gluten Free Original BBQ Sauce,Jack Daniel's Gluten Free Original BBQ Sauce553g,£4.25,76.9p per 100g,
Jus-Rol Gluten Free Puff Pastry Ready Rolled Sheet,Jus-Rol Gluten Free Puff Pastry Ready Rolled Sheet280g,£2.25,£8.04 per kg,
Just Love Food Company Free From Madeira Celebration Cake,Just Love Food Company Free From…544g,£6,£1.10 per 100g,
Kikkoman Tamari Gluten Free Soy Sauce,Kikkoman Tamari Gluten Free Soy Sauce250ml,£2.99,£1.20 per 100ml,
Kirstys Classic Beef Lasagne,Kirstys Classic Beef Lasagne400g,£3.25,£8.13 per kg,"Offer price £3.25, was £3.49"
Kirstys Cottage Pie With Sweet Potato Mash,Kirstys Cottage Pie With Sweet Potato Mash400g,£3.25,£8.13 per kg,"Offer price £3.25, was £3.49"
Kirsty's Lentil Cottage Pie With Sweet Potato Mash,Kirsty's Lentil Cottage Pie With Sweet Potato Mash400g,£3.25,£8.13 per kg,"Offer price £3.25, was £3.49"
Kirstys Spanish Chicken & Brown Rice,Kirstys Spanish Chicken & Brown Rice400g,£3.49,£8.73 per kg,
