name,Price Per Unit,Price Per Measure,Promotion
Ambi Pur Febreze Air Freshener Plug-In Refill Cotton Fresh 20ML,Ambi Pur Febreze Air Freshener Plug-I…,£6,,
Andrex Classic Clean Mega Toilet Roll ,Andrex Classic Clean Mega Toilet Roll 9 per pack,£7.99,88.8p each,"Offer price £7.99, was £8.75"
Andrex Classic Clean Toilet Roll,Andrex Classic Clean Toilet Roll9 per pack,£5.75,63.9p each,
Andrex Classic Clean Toilet Roll,Andrex Classic Clean Toilet Roll4 per pack,£3.15,78.8p each,
Andrex Classic Clean Toilet Roll,Andrex Classic Clean Toilet Roll12 per pack,£6.99,58.3p each,
Andrex Classic Clean Washlets,Andrex Classic Clean Washlets4 per pack,£5,£1.25 each,
Andrex Classic Clean Washlets Single Pack ,Andrex Classic Clean Washlets Single Pack 36 per pack,£1.50,4.2p each,Buy 3 for £3
Andrex Gentle Clean Toilet Roll,Andrex Gentle Clean Toilet Roll4 per pack,£2.65,66.3p each,
Andrex Gentle Clean Toilet Roll,Andrex Gentle Clean Toilet Roll9 per pack,£5,55.6p each,
Andrex Pure Care Washlets,Andrex Pure Care Washlets36 per pack,£1.75,4.9p each,Buy 3 for £3
Andrex Pure Care Washlets Quad ,Andrex Pure Care Washlets Quad 4 x 36 per pack,£6,4.2p each,
Andrex Supreme Quilts Toilet Roll,Andrex Supreme Quilts Toilet Roll4 per pack,£3.35,83.8p each,
Andrex Supreme Quilts Toilet Roll,Andrex Supreme Quilts Toilet Roll16 per pack,£10,62.5p each,"Offer price £10, was £11.85"
Andrex Supreme Quilts Toilet Roll,Andrex Supreme Quilts Toilet Roll9 per pack,£6.75,75p each,
Andrex Ultra Care Toilet Rolls,Andrex Ultra Care Toilet Rolls16 per pack,£11.85,74.1p each,
Andrex Ultra Care Toliet Roll,Andrex Ultra Care Toliet Roll9 per pack,£4.99,55.4p each,"Offer price £4.99, was £6.75"
Andrex Ultra Care Washlets Flushable Toilet Wipes,Andrex Ultra Care Washlets…36 per pack,£1.75,4.9p each,Buy 3 for £3
Ariel + Active Defence Washing Liquid Gel 38 Washes,Ariel + Active Defence Washin…1330ml,£10,£7.52 per litre,
Ariel +Active Odour Defence All in 1 Pods Washing Capsules,Ariel +Active Odour Defence All i…29 per pack,£9,31p each,
Ariel + Lenor Freshness All-in-1 Pods Washing Capsules Washes,Ariel + Lenor Freshness All-in-1 Po…29 per pack,£9,31p each,
Ariel + Lenor Freshness Washing Liquid Gel 38 Washes,Ariel + Lenor Freshness Washi…1330ml,£10,£7.52 per litre,
Ariel Colour All-in-1 Pods Washing Capsules Washes ,Ariel Colour All-in-1 Pods Wa…33 per pack,£7,21.2p each,"Offer price £7, was £10"
Ariel Colour All in1 pods Washing Capsules Washes,Ariel Colour All in1 pods W…51 per pack,£14,27.5p each,
