name,Price Per Unit,Price Per Measure,Promotion
Cawston Press Apple & Ginger Juice,Cawston Press Apple & Ginger Juice1L,£2.70,27p per 100ml,
Cawston Press Apple & Mango,Cawston Press Apple & Mango3 x 200ml,£1.35,22.5p per 100ml,"Offer price £1.35, was £1.75"
Cawston Press Apple & Pear Fruit Water ,Cawston Press Apple & Pear Fruit Water 3 x 200ml,£1.35,22.5p per 100ml,"Offer price £1.35, was £1.75"
Cawston Press Brilliant Beetroot Juice,Cawston Press Brilliant Beetroot Juice1L,£2.90,29p per 100ml,
Cawston Press Rhubarb & Sparkling Water ,Cawston Press Rhubarb & Sparkling Water 4 x 330ml,£3,22.7p per 100ml,"Offer price £3, was £4.30"
Cherrygood Classic Cherry Juice Drink,Cherrygood Classic Cherry Juice Drink1L,£1.85,18.5p per 100ml,
Cidona Apple Drink,Cidona Apple Drink2L,£2,10p per 100ml,
Coca-Cola Cherry,Coca-Cola Cherry500ml,£1.79,35.8p per 100ml,Buy 2 for £2.70
Coca-Cola Cherry,Coca-Cola Cherry1.75L,£2.25,12.9p per 100ml,
Coca-Cola Cherry ,Coca-Cola Cherry 8 x 330ml,£4.80,18.2p per 100ml,
Coca-Cola Cherry Zero Sugar ,Coca-Cola Cherry Zero Sugar 2L,£1.50,7.5p per 100ml,"Offer price £1.50, was £1.99"
Coca-Cola Original Taste,Coca-Cola Original Taste12 x 150ml,£4.50,25p per 100ml,
Coca-Cola Original Taste,Coca-Cola Original Taste1.25L,£1.75,14p per 100ml,
Coca-Cola Original Taste,Coca-Cola Original Taste8 x 330ml,£4.80,18.2p per 100ml,
Coca-Cola Original Taste ,Coca-Cola Original Taste 24 x 330ml,£12.50,15.8p per 100ml,"Offer price £12.50, was £13"
Coca-Cola Original Taste ,Coca-Cola Original Taste 4 x 250ml,£3,30p per 100ml,"Offer price £3, was £4.25"
Coca-Cola Original Taste ,Coca-Cola Original Taste 10 x 330ml,£6.65,20.2p per 100ml,
Coca-Cola Original Taste ,Coca-Cola Original Taste 500ml,£1.79,35.8p per 100ml,Buy 2 for £2.70
Coca-Cola Original Taste ,Coca-Cola Original Taste 330ml,£1,30.3p per 100ml,
Coca-Cola Original Taste,Coca-Cola Original Taste1.75L,£2.75,£1.57 per litre,Buy 2 for £4
Coca-Cola Original Taste,Coca-Cola Original Taste6 x 250ml,£2.50,16.7p per 100ml,"Offer price £2.50, was £3.75"
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 8 x 330ml,£3.75,14.2p per 100ml,
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 12 x 330ml,£5.50,13.9p per 100ml,
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 1.25L,£1,8p per 100ml,
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 24 x 330ml,£6.99,8.8p per 100ml,"Offer price £6.99, was £8.50"
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 30 x 330ml,£10,10.1p per 100ml,"Offer price £10, was £14 - Online Exclusive"
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 4 x 250ml,£2.50,25p per 100ml,"Offer price £2.50, was £3.89"
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 2L,£1.99,10p per 100ml,Buy 2 for £3.50
Coca-Cola Zero Sugar,Coca-Cola Zero Sugar6 x 250ml,£2,13.3p per 100ml,"Offer price £2, was £3.20"
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 6 x 250ml,£5.39,35.9p per 100ml,
Coca-Cola Zero Sugar,Coca-Cola Zero Sugar1L,£1.20,12p per 100ml,
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 4 x 330ml,£2.50,18.9p per 100ml,
Coca-Cola Zero Sugar,Coca-Cola Zero Sugar330ml,95p,28.8p per 100ml,
Coca-Cola Zero Sugar Cherry ,Coca-Cola Zero Sugar Cherry 8 x 330ml,£3,11.4p per 100ml,"Offer price £3, was £3.75"
Coca-Cola Zero Sugar Cherry ,Coca-Cola Zero Sugar Cherry 500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Coca-Cola Zero Sugar Vanilla ,Coca-Cola Zero Sugar Vanilla 2L,£1.50,7.5p per 100ml,"Offer price £1.50, was £1.99"
Coca-Cola Zero Sugar Vanilla ,Coca-Cola Zero Sugar Vanilla 8 x 330ml,£3,11.4p per 100ml,"Offer price £3, was £3.75"
Coca-Cola Zero Sugar Zero Caffeine ,Coca-Cola Zero Sugar Zero Caffeine 8 x 330ml,£3,11.4p per 100ml,"Offer price £3, was £3.75"
Coca-Cola Zero Sugar Zero Caffeine ,Coca-Cola Zero Sugar Zero Caffeine 2L,£1.50,7.5p per 100ml,"Offer price £1.50, was £1.99"
Copella Apple & Elderflower Juice ,Copella Apple & Elderflower Juice 1.35L,£3.75,27.8p per 100ml,
Copella Cloudy Apple Juice,Copella Cloudy Apple Juice1.35L,£3.75,27.8p per 100ml,
Costa Coffee Caramel Latte ,Costa Coffee Caramel Latte 250ml,£1.25,50p per 100ml,"Offer price £1.25, was £1.80"
Costa Coffee Caramel Latte,Costa Coffee Caramel Latte750ml,£3,40p per 100ml,
Costa Coffee Flat White,Costa Coffee Flat White200ml,£1.25,62.5p per 100ml,"Offer price £1.25, was £1.80"
Costa Coffee Latte ,Costa Coffee Latte 250ml,£1.25,50p per 100ml,"Offer price £1.25, was £1.80"
Costa Vanilla Latte,Costa Vanilla Latte250ml,£1.25,50p per 100ml,"Offer price £1.25, was £1.80"
Cravendale Semi Skimmed Milk,Cravendale Semi Skimmed Milk2L,£2.69,£1.35 per litre,Buy 2 for £4
Cravendale Semi Skimmed Milk,Cravendale Semi Skimmed Milk1L,£1.99,£1.99 per litre,
Cravendale Skimmed Milk,Cravendale Skimmed Milk2L,£2.69,£1.35 per litre,Buy 2 for £4
Cravendale Whole Milk,Cravendale Whole Milk1L,£1.99,£1.99 per litre,
Crusha Chocolate Milkshake Mix No Add Sugar ,Crusha Chocolate Milksh…500ml,£1.79,£3.58 per litre,
Diet Coke,Diet Coke12 x 150ml,£4,22.2p per 100ml,
Diet Coke ,Diet Coke 8 x 330ml,£3.75,14.2p per 100ml,
Diet Coke ,Diet Coke 12 x 330ml,£5.50,13.9p per 100ml,
Diet Coke ,Diet Coke 1.25L,£1,8p per 100ml,
Diet Coke ,Diet Coke 24 x 330ml,£6.99,8.8p per 100ml,"Offer price £6.99, was £8.50"
Diet Coke,Diet Coke330ml,95p,28.8p per 100ml,Food To Go Meal Deal for £3.50
