name,Price Per Unit,Price Per Measure,Promotion
Morrisons Mixed Pepper Stir Fry,Morrisons Mixed Pepper Stir Fry300g,£1.49,49.7p per 100g,Buy 3 for £2.50
Morrisons Mixed Radish,Morrisons Mixed Radish200g,79p,£3.95 per kg,
Morrisons Mulberry Bouquet,Morrisons Mulberry Bouquet,£5.99,,
Morrisons Mushroom Stir Fry,Morrisons Mushroom Stir Fry300g,£1.49,49.7p per 100g,Buy 3 for £2.50
Morrisons Natural Cooked Beetroot ,Morrisons Natural Cooked Beetroot 300g,85p,£2.83 per kg,
Morrisons Nectarines ,Morrisons Nectarines 4 per pack,£1.79,44.8p each,
Morrisons Olive Oil & Sea Salt Croutons ,Morrisons Olive Oil & Sea Salt Croutons 95g,£1,£1.05 per 100g,
Morrisons Onions ,Morrisons Onions 4kg,£2.99,74.8p per kg,
Morrisons Oranges,Morrisons Oranges5 per pack,£1.49,29.8p each,Buy 3 for the Price of 2
Morrisons Organic Blueberries ,Morrisons Organic Blueberries 125g,£2.29,£1.83 per 100g,Organic Berries - Buy 2 For £4
Morrisons Organic Broccoli,Morrisons Organic Broccoli300g,99p,£3.30 per kg,
Morrisons Organic Brown Onions,Morrisons Organic Brown Onions500g,99p,£1.98 per kg,
Morrisons Organic Carrots,Morrisons Organic Carrots600g,99p,£1.65 per kg,
Morrisons Organic Celery ,Morrisons Organic Celery ,£1.19,,
Morrisons Organic Courgettes ,Morrisons Organic Courgettes 2 per pack,£1.79,89.5p each,
Morrisons Organic Cucumber ,Morrisons Organic Cucumber ,£1.19,,
Morrisons Organic Fairtrade Bananas ,Morrisons Organic Fairtrade Bananas 5 per pack,£1.29,25.8p each,
Morrisons Organic Gala Apples ,Morrisons Organic Gala Apples 4 per pack,£1.99,49.8p each,
Morrisons Organic Garlic,Morrisons Organic Garlic3 per pack,99p,33p each,
Morrisons Organic Leeks ,Morrisons Organic Leeks 400g,£1.79,£4.48 per kg,
Morrisons Organic Lemons,Morrisons Organic Lemons3 per pack,£1.75,58.3p each,
Morrisons Organic Medium Cauliflower ,Morrisons Organic Medium Cauliflower ,£1.79,,
Morrisons Organic Mushrooms ,Morrisons Organic Mushrooms 250g,£1.19,£4.76 per kg,
Morrisons Organic Oranges ,Morrisons Organic Oranges 4 per pack,£1.99,49.8p each,
Morrisons Organic Pears,Morrisons Organic Pears3 per pack,£1.99,66.3p each,
Morrisons Organic Potatoes ,Morrisons Organic Potatoes 1.5kg,£1.65,£1.10 per kg,
Morrisons Organic Salad Potatoes ,Morrisons Organic Salad Potatoes 750g,£1.19,£1.59 per kg,
Morrisons Organic Spinach,Morrisons Organic Spinach100g,£1.49,£1.49 per 100g,
Morrisons Organic Spring Onions ,Morrisons Organic Spring Onions 120g,99p,£8.25 per kg,
Morrisons Organic Strawberries ,Morrisons Organic Strawberries 225g,£2.69,£1.20 per 100g,Organic Berries - Buy 2 For £4
 Morrisons Organic Twin Peppers , Morrisons Organic Twin Peppers 2 per pack,£1.59,79.5p each,
Morrisons Outdoor Daffodils,Morrisons Outdoor Daffodils,£1,,
Morrisons Pak Choi,Morrisons Pak Choi200g,£1.09,£5.45 per kg,
Morrisons Papaya,Morrisons Papaya,£1.79,,
Morrisons Parsnips ,Morrisons Parsnips 500g,19p,38p per kg,"Offer price 19p, was 69p"
Morrisons Passion Fruit,Morrisons Passion Fruit3 per pack,£1.25,41.7p each,
Morrisons Pears ,Morrisons Pears 1.2kg,£1.99,£1.66 per kg,
Morrisons Pea Shoots,Morrisons Pea Shoots60g,£1.19,£1.98 per 100g,
Morrisons Pecans,Morrisons Pecans175g,£2.49,£14.23 per kg,Buy 2 for £4
Morrisons Peeled Maris Piper Potatoes,Morrisons Peeled Maris Piper Potatoes600g,99p,16.5p per 100g,
Morrisons Peeled Sprouts,Morrisons Peeled Sprouts200g,£1.49,£7.45 per kg,
Morrisons Physalis ,Morrisons Physalis 100g,99p,£9.90 per kg,
Morrisons Pickled Beetroot ,Morrisons Pickled Beetroot 250g,79p,£3.16 per kg,
Morrisons Pineapple ,Morrisons Pineapple 300g,£2.25,75p per 100g,
Morrisons Pineapple ,Morrisons Pineapple 130g,99p,76.2p per 100g,
Morrisons Pineapple Fingers,Morrisons Pineapple Fingers500g,£2.99,59.8p per 100g,
Morrisons Pineapple Snack Bag ,Morrisons Pineapple Snack Bag 70g,49p,70p per 100g,Buy 3 for £1
