name,Price Per Unit,Price Per Measure,Promotion
Brambles Floating Swan & Duck Food,Brambles Floating Swan & Duck Food1.75kg,£8,£4.57 per kg,
"Brit Bites Natural Baked Dog Treats With Banana, Honey & Oats",Brit Bites Natural Baked Dog Treats…175g,£1.75,£1.00 per 100g,
Brit Bites Natural Baked Dog Treats With Chicken & Pumpkin,Brit Bites Natural Baked Dog Trea…175g,£1.75,£10.00 per kg,
Brit Bites Natural Baked Dog Treats With Country Vegetables,Brit Bites Natural Baked Dog Trea…175g,£1.75,£10.00 per kg,
"Brit Bites Natural Baked Dog Treats With Lamb, Pea and Added Mint",Brit Bites Natural Baked Dog Treats W…175g,£1.75,£1.00 per 100g,
Burgess Excel Feeding Hay ,Burgess Excel Feeding Hay 500g,£3.60,£7.20 per kg,
Butcher's Healthy Heart Dog Food Tins,Butcher's Healthy Heart Dog Food Tins6 x 390g,£5.75,24.6p per 100g,
Butcher's Healthy Heart Dog Food Trays,Butcher's Healthy Heart Dog Food Trays12 x 150g,£6,33.3p per 100g,"Offer price £6, was £6.75"
Butcher's Joints & Coat Dog Food Tins ,Butcher's Joints & Coat Dog Food Tins 6 x 390g,£5.75,24.6p per 100g,
Butcher's Joints & Coat Dog Food Trays ,Butcher's Joints & Coat Dog Food Trays 12 x 150g,£6,£3.33 per kg,"Offer price £6, was £6.75"
Butcher's Joints & Coat Treats,Butcher's Joints & Coat Treats80g,£2.25,£2.81 per 100g,
Butcher's Lean & Tasty Low Fat Dog Food Tins,Butcher's Lean & Tasty Low Fat Dog Food Tins12 x 400g,£10.50,£2.19 per kg,
Butcher's Lean & Tasty Low Fat Dog Food Trays,Butcher's Lean & Tasty Low Fat Dog Food Trays12 x 150g,£6,£3.33 per kg,"Offer price £6, was £6.75"
Butcher's Lean & Tasty Treats,Butcher's Lean & Tasty Treats80g,£2.25,£2.81 per 100g,
Butcher's Loaf Recipes Dog Food Tins,Butcher's Loaf Recipes Dog Food Tins6 x 390g,£5.75,£2.46 per kg,
Butcher's Puppy Perfect Dog Food Tins,Butcher's Puppy Perfect Dog Food Tins6 x 400g,£5.75,£2.40 per kg,
Butcher's Recipes in Gravy Dog Food Tins,Butcher's Recipes in Gravy Dog Food Tins6 x 400g,£5.75,£2.40 per kg,
Butcher's Recipes in Gravy Dog Food Tins,Butcher's Recipes in Gravy Dog Food Tins12 x 400g,£10.50,£2.19 per kg,
Butcher's Recipes in Jelly Dog Food Tins ,Butcher's Recipes in Jelly Dog Food Tins 12 x 400g,£10.50,£2.19 per kg,
Butcher's Recipes in Jelly Dog Food Tins,Butcher's Recipes in Jelly Dog Food Tins6 x 400g,£5.75,£2.40 per kg,
Butcher's Simply Gentle Dog Food Tins,Butcher's Simply Gentle Dog Food Tins6 x 390g,£5.75,£2.46 per kg,
Butcher's Simply Gentle Dog Food Trays ,Butcher's Simply Gentle Dog Food Trays 12 x 150g,£6,£3.33 per kg,"Offer price £6, was £6.75"
Butcher's Simply Gentle Treats,Butcher's Simply Gentle Treats80g,£2.25,£2.81 per 100g,
Butcher's Succulent Recipes Dog Food Trays,Butcher's Succulent Recipes Dog Food Trays4 x 150g,£2.60,43.3p per 100g,
Butcher's Succulent Recipes Dog Food Trays,Butcher's Succulent Recipes Dog Food Trays12 x 150g,£6,33.3p per 100g,"Offer price £6, was £6.75"
Butcher's Traditional Recipes Dog Food Trays,Butcher's Traditional Recipes Dog Food Trays4 x 150g,£2.60,43.3p per 100g,
Butcher's Traditional Recipes Dog Food Trays,Butcher's Traditional Recipes Dog Food Trays12 x 150g,£6,33.3p per 100g,"Offer price £6, was £6.75"
Butcher's Tripe Dog Food Tin,Butcher's Tripe Dog Food Tin400g,99p,£2.48 per kg,
Butcher's Tripe Dog Food Tins,Butcher's Tripe Dog Food Tins6 x 400g,£5.75,£2.40 per kg,
Butcher's Tripe Loaf Recipes Dog Food Tins,Butcher's Tripe Loaf Recipes Dog Food Tins12 x 400g,£10.50,£2.19 per kg,
Butcher's Tripe Loaf Recipes Dog Food Tins,Butcher's Tripe Loaf Recipes Dog Food Tins6 x 400g,£5.75,£2.40 per kg,
Catit Creamy Lickable Cat Treats Chicken,Catit Creamy Lickable Cat Treats Chicken4 x 10g,£2.05,£5.13 per 100g,
