name,Price Per Unit,Price Per Measure,Promotion
Birds Eye 2 Peri Peri Chicken Chargrills,Birds Eye 2 Peri Peri Chicken Chargrills174g,£2,£11.49 per kg,"Offer price £2, was £2.79"
Birds Eye 2 Southern Fried Chicken Grills,Birds Eye 2 Southern Fried Chicken Grills180g,£2,£11.11 per kg,"Offer price £2, was £2.79"
Birds Eye 2 Steamfresh Mediterranean Vegetable Rice,Birds Eye 2 Steamfresh Medite…380g,£2.89,£7.61 per kg,
Birds Eye 2 Sticky & Sweet BBQ Chicken Chargrills,Birds Eye 2 Sticky & Sweet BBQ Chicken Chargrills174g,£2,£11.49 per kg,"Offer price £2, was £2.79"
Birds Eye 30 Fish Fillet Fingers Cod,Birds Eye 30 Fish Fillet Fingers Cod840g,£7.75,£9.23 per kg,
Birds Eye 38 Crispy Chicken Dippers,Birds Eye 38 Crispy Chicken Dippers697g,£4.50,£6.45 per kg,"Offer price £4.50, was £5.69 - Online Exclusive"
Birds Eye 44 Chicken Nuggets with Golden Wholegrain,Birds Eye 44 Chicken Nuggets…695g,£5.69,£8.19 per kg,
Birds Eye 4 Battered Cod Fish Fillets,Birds Eye 4 Battered Cod Fish Fillets440g,£4,£9.09 per kg,"Offer price £4, was £6.15"
Birds Eye 4 Battered Fish Fillets,Birds Eye 4 Battered Fish Fillets400g,£2.50,£6.25 per kg,"Offer price £2.50, was £3.95"
Birds Eye 4 Breaded Cod Fish Fillets,Birds Eye 4 Breaded Cod Fish Fillets440g,£6.15,£13.98 per kg,
Birds Eye 4 Breaded Haddock Fish Fillets,Birds Eye 4 Breaded Haddock Fish Fillets440g,£6.15,£13.98 per kg,
Birds Eye 4 Chicken Burgers,Birds Eye 4 Chicken Burgers200g,£2.79,£13.95 per kg,
Birds Eye 4 Family Favourites Steamfresh,Birds Eye 4 Family Favourites Steamfresh540g,£2.89,£5.35 per kg,
Birds Eye 4 Garden Mix Steamfresh,Birds Eye 4 Garden Mix Steamfresh540g,£2,£3.70 per kg,"Offer price £2, was £2.89"
Birds Eye 4 Hearty Farmhouse Mix Steamfresh,Birds Eye 4 Hearty Farm…4 x 540g,£2.89,£1.34 per kg,
Birds Eye 4 HomeBake Sausage Rolls,Birds Eye 4 HomeBake Sausage Rolls360g,£1.99,£5.53 per kg,
Birds Eye 4 Large Haddock Fillets Battered,Birds Eye 4 Large Haddock Fillets Battered440g,£4,£9.09 per kg,"Offer price £4, was £6.15"
Birds Eye 4 Original Beef Burgers with Onion,Birds Eye 4 Original Beef Burgers with Onion227g,£2.59,£11.41 per kg,
Birds Eye 4 Original Beef Quarter Pounder Burgers,Birds Eye 4 Original Beef Quarter Pounder Burgers456g,£3,£6.58 per kg,"Offer price £3, was £4.09"
Birds Eye 4 Shortcrust Chicken Pies,Birds Eye 4 Shortcrust Chicken Pies620g,£3.99,£6.44 per kg,
Birds Eye 4 Super Sunshine Steamfresh,Birds Eye 4 Super Sunshine Steamfresh540g,£2.89,£5.35 per kg,
Birds Eye 4 Tomato & Mozzarella Crispy Pancakes,Birds Eye 4 Tomato & Mozz…250g,£1.50,60p per 100g,
Birds Eye 6 Chunky Breaded Fish Fingers,Birds Eye 6 Chunky Breaded Fish Fingers360g,£3.49,£9.69 per kg,
Birds Eye 6 Crispy Battered Fish Fingers,Birds Eye 6 Crispy Battered Fish Fingers360g,£3.49,£9.69 per kg,
