name,Price Per Unit,Price Per Measure,Promotion
Cofresh Sweet Saker Para Snacks,Cofresh Sweet Saker Para Snacks300g,£1,33.3p per 100g,
Crucials Burger Sauce ,Crucials Burger Sauce 500ml,£1.19,23.8p per 100ml,
Crucials Caribbean Style Sweet Chilli Sauce,Crucials Caribbean Style Sweet Chilli Sauce500ml,£1.19,23.8p per 100ml,
Crucials Chilli & Garlic Sauce With Garlic ,Crucials Chilli & Garlic Sauce With Garlic 500ml,£1.19,23.8p per 100ml,
Crucials Extra Hot Chilli Sauce ,Crucials Extra Hot Chilli Sauce 500ml,£1.19,23.8p per 100ml,
Crucials Garlic Mayo Sauce,Crucials Garlic Mayo Sauce500ml,£1.19,23.8p per 100ml,
Crucials Spicy Mayo Sauce,Crucials Spicy Mayo Sauce500ml,£1.19,23.8p per 100ml,
Crucials Sweet Chilli Thai Style Sauce,Crucials Sweet Chilli Thai Style Sauce500ml,£1.19,23.8p per 100ml,
Crucials Yoghurt & Mint Sauce,Crucials Yoghurt & Mint Sauce500ml,£1.19,23.8p per 100ml,
Cypressa Black Pitted Olives In Brine ,Cypressa Black Pitted Olives In Brine 340g,£1.20,35.3p per 100g,
Cypressa Greek Halkidiki Olives ,Cypressa Greek Halkidiki Olives 315g,£2.19,69.5p per 100g,
Cypressa Green Pitted Olives ,Cypressa Green Pitted Olives 340g,£1.25,36.8p per 100g,
Cypressa Kalamata Olives ,Cypressa Kalamata Olives 345g,£2.19,63.5p per 100g,
Cypressa Stuffed Olives In Brine With Pimento Paste ,Cypressa Stuffed Olives In Brine With Pimento Paste 340g,£1.20,35.3p per 100g,
Dabur Herbal Toothpaste With Neem ,Dabur Herbal Toothpaste With Neem 100ml,£3,£3.00 per 100ml,
Daria Unsalted,Daria Unsalted300g,£1.99,66.3p per 100g,
Dega Home Made Salad  ,Dega Home Made Salad  250g,£1.35,54p per 100g,
Desi Natural Live Set Yogurt,Desi Natural Live Set Yogurt1kg,£1.85,18.5p per 100g,
Dina Chapattis,Dina Chapattis300g,£1.19,39.7p per 100g,
Dina Classic Baklawa Selection ,Dina Classic Baklawa Selection 200g,£2.29,£1.15 per 100g,
Dina Lavash Flatbreads,Dina Lavash Flatbreads6 per pack,£1.75,29.2p each,
Dina Paninette Large White Bread Wraps,Dina Paninette Large White Bread Wraps5 per pack,£1.05,21p each,
Dina Paninette White Bread Wraps,Dina Paninette White Bread Wraps5 per pack,95p,19p each,
Dina Paninette Wholemeal Bread Wraps,Dina Paninette Wholemeal Bread Wraps5 per pack,£1.05,21p each,
Dina Sourdough Paninette ,Dina Sourdough Paninette 250g,£1.05,42p per 100g,
Dina Tannour Flatbread,Dina Tannour Flatbread310g,£1.59,51.3p per 100g,
Dina White Chapattis,Dina White Chapattis300g,£1.19,39.7p per 100g,
Dina White Mini Pitta Bread,Dina White Mini Pitta Bread8 per pack,65p,8.1p each,
Dina White Pitta Bread,Dina White Pitta Bread420g,65p,15.5p per 100g,
Dina Wholemeal Mini Pitta Bread,Dina Wholemeal Mini Pitta Bread8 per pack,65p,8.1p each,
Dina Wholemeal Pitta Bread,Dina Wholemeal Pitta Bread6 per pack,65p,10.8p each,
Dorset Cereals Oat Granola ,Dorset Cereals Oat Granola 550g,£3.99,72.5p per 100g,
Duda Juniper Sausage ,Duda Juniper Sausage 150g,£1.90,£1.27 per 100g,
Dunareu Delicatete Bukowe Sausages,Dunareu Delicatete Bukowe Sausages600g,£2.69,£4.48 per kg,
Dunareu Delicatete Hot Dogs,Dunareu Delicatete Hot Dogs1kg,£2.69,£2.69 per kg,
Dunns River Coconut Milk ,Dunns River Coconut Milk 400ml,£1.09,£2.73 per litre,
Dunn's River Jamaican Jerk Seasoning,Dunn's River Jamaican Jerk Seasoning300g,£2.46,8.2p per 10g,
East End Gold Chapatti Atta,East End Gold Chapatti Atta5kg,£8.50,£1.70 per kg,
East End Premium Gold Multi Grain Atta Chapatti Flour ,East End Premium Gold Multi Gra…5kg,£7.50,£1.50 per kg,
Eid Gift Bag,Eid Gift Bag,£4,,
Ekspresso Pancakes With Cottage Cheese,Ekspresso Pancakes With Cottage Cheese500g,£2.50,£5.00 per kg,
Elephant Atta Chakki Gold,Elephant Atta Chakki Gold5kg,£5,£1.00 per kg,"Offer price £5, was £7.99"
Elephant Atta Chapattis,Elephant Atta Chapattis360g,£1.49,£4.14 per kg,
Elephant Atta Medium Chapatti Flour  ,Elephant Atta Medium Chapatti Flour  10kg,£6.50,65p per kg,"Offer price £6.50, was £9.99"
Elephant Atta Medium Vitamin D,Elephant Atta Medium Vitamin D5kg,£5,£1.00 per kg,"Offer price £5, was £6.99"
Elephant Atta Medium With Multigrain ,Elephant Atta Medium With Multigrain 10kg,£11.99,£1.20 per kg,"Offer price £11.99, was £13.99"
Elephant Atta Wholemeal Chapatti Flour,Elephant Atta Wholemeal Chapatti Flour10kg,£6.50,65p per kg,"Offer price £6.50, was £8.99"
Elite Summer Salami ,Elite Summer Salami 400g,£2.40,60p per 100g,
Elit Victoria Salami,Elit Victoria Salami350g,£2.40,68.6p per 100g,
Elpozo Fuetec Airdried Spanish Sausage,Elpozo Fuetec Airdried Spanish Sausage170g,£2,£1.18 per 100g,
Evim Sliced Beef Salami With Turkey Meat ,Evim Sliced Beef Salami With Turkey Meat 100g,£1.40,£1.40 per 100g,
Feddon Breadsticks With Sesame Seeds,Feddon Breadsticks With Sesame Seeds250g,£2,80p per 100g,
Fino Lemon Dressing,Fino Lemon Dressing300ml,50p,16.7p per 100ml,
Flahavan's Irish Quick Oats,Flahavan's Irish Quick Oats500g,£1.80,36p per 100g,
Flute Incense Floral Range     ,Flute Incense Floral Range     6 x 20 per pack,£2,1.7p each,
Freetown Corned Beef,Freetown Corned Beef340g,£3.50,£1.03 per 100g,
Fudco Almonds,Fudco Almonds500g,£7,£1.40 per 100g,
Fudco Assorted Nut Mix   ,Fudco Assorted Nut Mix   500g,£7,£1.40 per 100g,
Fudco Cashew Nuts,Fudco Cashew Nuts500g,£7,£1.40 per 100g,
Fudco Deluxe Assorted Nuts,Fudco Deluxe Assorted Nuts250g,£3.99,£1.60 per 100g,
Fudco Deluxe Nuts & Raisins Mix,Fudco Deluxe Nuts & Raisins Mix500g,£7,£1.40 per 100g,
Fudco Fine Desiccated Coconut,Fudco Fine Desiccated Coconut250g,£1.35,54p per 100g,
Fudco Golden Sultana,Fudco Golden Sultana250g,£1.70,68p per 100g,
Fudco Green Raisins,Fudco Green Raisins250g,£2.25,90p per 100g,
Fudco Pistachio Kernals    ,Fudco Pistachio Kernals    200g,£5.35,£2.68 per 100g,
Fudco Popping Corn,Fudco Popping Corn500g,£1.25,25p per 100g,
Fudco Roasted & Salted Cashew Nuts,Fudco Roasted & Salted Cashew Nuts200g,£2.90,£1.45 per 100g,
Fudco Roasted & Salted Jumbo Pistachios,Fudco Roasted & Salted Jumbo Pistachios500g,£7,£1.40 per 100g,
Fudco Roasted & Salted Jumbo Pistachios,Fudco Roasted & Salted Jumbo Pistachios200g,£3.99,£2.00 per 100g,
Fudco Soya Chunks,Fudco Soya Chunks150g,£1.20,£8.00 per kg,
Fudco Soya Mince,Fudco Soya Mince250g,£1.45,58p per 100g,
Gama Cous Cous          ,Gama Cous Cous          500g,£1.50,£3.00 per kg,
Gama Red Lentils      ,Gama Red Lentils      500g,£1.79,£3.58 per kg,
Gama Roasted Maize ,Gama Roasted Maize 200g,£1.20,60p per 100g,
Gama Roasted Monkey Nuts      ,Gama Roasted Monkey Nuts      250g,£1,40p per 100g,
Gefen Chicken Noodle Soup ,Gefen Chicken Noodle Soup 66g,£1.65,£2.50 per 100g,
Gefen Israeli Couscous,Gefen Israeli Couscous250g,£1.25,£5.00 per kg,
Gefen Organic Roasted & Peeled Chestnuts,Gefen Organic Roasted & Peeled Chestnuts150g,£2.80,£1.87 per 100g,
Gefen Vegetable Flavour Noodle Soup ,Gefen Vegetable Flavour Noodle Soup 66g,£1.65,£2.50 per 100g,
Gefen Yellow Mustard,Gefen Yellow Mustard225g,£1.35,60p per 100g,
Ghana Best Shito Hot,Ghana Best Shito Hot160g,£3.25,£2.03 per 100g,
Ghana Best Shito Mild ,Ghana Best Shito Mild 160g,£3.29,£2.06 per 100g,
Gino's Battered Chicken Nuggets,Gino's Battered Chicken Nuggets500g,£2.25,£4.50 per kg,
Ginos Breaded Chicken Nuggets,Ginos Breaded Chicken Nuggets500g,£2.19,£4.38 per kg,
Gino's Southern Fried Chicken Popcorn,Gino's Southern Fried Chicken Popcorn500g,£2.25,£4.50 per kg,
Goldfish Original Chinese Curry Sauce Concentrate,Goldfish Original Chinese Curry Sauce Concentrate405g,£2.75,67.9p per 100g,
Goplana Grzeski Chocolate Wafer Bar ,Goplana Grzeski Chocolate Wafer Bar 36g,50p,£1.39 per 100g,
Goplana Grzeski Toffi Bar,Goplana Grzeski Toffi Bar36g,50p,£1.39 per 100g,
Gosh! Mediterranean Falafel ,Gosh! Mediterranean Falafel 300g,£2.95,98.3p per 100g,
Gosh! Moroccan Spiced Falafel ,Gosh! Moroccan Spiced Falafel 300g,£2.95,98.3p per 100g,
Gosh! Spinach & Pine Nut Bites ,Gosh! Spinach & Pine Nut Bites 300g,£2.95,98.3p per 100g,
Grace Chicken Noodle Soup Mix,Grace Chicken Noodle Soup Mix60g,69p,£1.15 per 100g,
Grace Coconut Water With Real Coconut Pieces Juice drink ,Grace Coconut Water With Real Coc…310ml,95p,30.6p per 100ml,
Grace Instant Cornmeal Porridge ,Grace Instant Cornmeal Porridge 60g,£1.59,£2.65 per 100g,
Grace Mango Aloe Vera Juice Drink,Grace Mango Aloe Vera Juice Drink500ml,£1.29,25.8p per 100ml,
Grace Mighty Malt Original Drink ,Grace Mighty Malt Original Drink 330ml,99p,30p per 100ml,
